group,timing_bucket,window,n_events,mean_event_sum_points_residual,boost_rate,strong_boost_rate
pseudo_no_change,00_08,after_1_10,13,2.2585148192133286,0.6923076923076923,0.46153846153846156
pseudo_no_change,00_08,after_1_3,13,0.387668078502575,0.6153846153846154,0.23076923076923078
pseudo_no_change,00_08,after_1_5,13,1.3302723299213748,0.6923076923076923,0.46153846153846156
pseudo_no_change,00_08,after_4_6,13,1.2473207778506525,0.6153846153846154,0.3076923076923077
pseudo_no_change,00_08,after_7_10,12,0.6754864597651097,0.4166666666666667,0.3333333333333333
pseudo_no_change,09_16,after_1_10,33,0.0860256929956913,0.48484848484848486,0.3333333333333333
pseudo_no_change,09_16,after_1_3,33,0.35366916585774616,0.5757575757575758,0.21212121212121213
pseudo_no_change,09_16,after_1_5,33,0.2912713425944172,0.48484848484848486,0.21212121212121213
pseudo_no_change,09_16,after_4_6,33,0.10883077023542646,0.48484848484848486,0.18181818181818182
pseudo_no_change,09_16,after_7_10,32,-0.38823906319427753,0.375,0.25
pseudo_no_change,17_24,after_1_10,46,1.2579447297040078,0.6304347826086957,0.43478260869565216
pseudo_no_change,17_24,after_1_3,46,0.1954949596164918,0.45652173913043476,0.2391304347826087
pseudo_no_change,17_24,after_1_5,46,0.15516131390282623,0.43478260869565216,0.2391304347826087
pseudo_no_change,17_24,after_4_6,46,0.2391024085887956,0.5217391304347826,0.2608695652173913
pseudo_no_change,17_24,after_7_10,43,0.8807902006730499,0.6046511627906976,0.3488372093023256
pseudo_no_change,25_plus,after_1_10,24,0.9928862760334206,0.625,0.3333333333333333
pseudo_no_change,25_plus,after_1_3,24,0.24820597273808262,0.5,0.2916666666666667
pseudo_no_change,25_plus,after_1_5,24,0.40683709657039197,0.5,0.3333333333333333
pseudo_no_change,25_plus,after_4_6,24,0.5201651177094618,0.625,0.20833333333333334
pseudo_no_change,25_plus,after_7_10,16,0.3367727783788142,0.5625,0.375
true_manager_change,00_08,after_1_10,13,1.8163111241160823,0.6923076923076923,0.6153846153846154
true_manager_change,00_08,after_1_3,13,-0.10286592540062715,0.38461538461538464,0.23076923076923078
true_manager_change,00_08,after_1_5,13,0.7463557808401584,0.6153846153846154,0.46153846153846156
true_manager_change,00_08,after_4_6,13,1.4859617118527955,0.5384615384615384,0.38461538461538464
true_manager_change,00_08,after_7_10,9,0.6257554877367641,0.4444444444444444,0.3333333333333333
true_manager_change,09_16,after_1_10,33,0.3800879268594506,0.45454545454545453,0.3939393939393939
true_manager_change,09_16,after_1_3,33,0.3108342778926164,0.3939393939393939,0.24242424242424243
true_manager_change,09_16,after_1_5,33,0.09809170121206238,0.5454545454545454,0.2727272727272727
true_manager_change,09_16,after_4_6,33,-0.5540924074040597,0.42424242424242425,0.09090909090909091
true_manager_change,09_16,after_7_10,29,0.709324822766879,0.6551724137931034,0.3448275862068966
true_manager_change,17_24,after_1_10,46,0.21069994846196383,0.5652173913043478,0.3695652173913043
true_manager_change,17_24,after_1_3,46,0.45611039623060734,0.5652173913043478,0.2391304347826087
true_manager_change,17_24,after_1_5,46,0.7116355285452467,0.5434782608695652,0.34782608695652173
true_manager_change,17_24,after_4_6,45,0.23956859884145013,0.5555555555555556,0.17777777777777778
true_manager_change,17_24,after_7_10,43,-0.5132434312842524,0.4186046511627907,0.18604651162790697
true_manager_change,25_plus,after_1_10,26,-0.24473444609503317,0.38461538461538464,0.19230769230769232
true_manager_change,25_plus,after_1_3,26,-0.1301606252271431,0.5,0.15384615384615385
true_manager_change,25_plus,after_1_5,26,0.07309302059369675,0.34615384615384615,0.23076923076923078
true_manager_change,25_plus,after_4_6,18,0.21486222414852688,0.5,0.2777777777777778
true_manager_change,25_plus,after_7_10,11,-0.6224035797489661,0.45454545454545453,0.09090909090909091
