target_year,previous_year,prev_weight,prev_decay,elo_lambda_weight,compat_weight,current_decay,shrinkage,draw_factor,max_match_draw_prob_label,max_match_draw_prob,lambda_cap_label,lambda_cap,promoted_prior_name,promoted_prev_weight,promoted_attack_prior,promoted_defense_prior,matchup_prior_n,matchup_time_decay,compat_factor_min,compat_factor_max,goal_adjust_name,goal_adjust_mode,goal_cap_for_strength,n_sim,n_teams,n_previous_matches,n_target_matches,n_train_matches,n_test_matches,mae,mean_prob_actual_position,sim_draw_rate,promoted_team_count,promoted_mean_error,京都_actual_position,京都_avg_pred_position,京都_error,柏_actual_position,柏_avg_pred_position,柏_error,川崎F_actual_position,川崎F_avg_pred_position,川崎F_error,神戸_actual_position,神戸_avg_pred_position,神戸_error,横浜FM_actual_position,横浜FM_avg_pred_position,横浜FM_error,名古屋_actual_position,名古屋_avg_pred_position,名古屋_error,G大阪_actual_position,G大阪_avg_pred_position,G大阪_error,浦和_actual_position,浦和_avg_pred_position,浦和_error,prev_setting_name,町田_actual_position,町田_avg_pred_position,町田_error,清水_actual_position,清水_avg_pred_position,清水_error
2023,2022,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,cap3.5,3.5,none,0.0,1.0,1.0,30,0.97,0.95,1.05,cap4,cap,4,10000,18,306,306,153,153,2.022988888888889,0.17174444444444445,0.2765699346405229,2,2.2531,13,14.671000000000003,1.671000000000003,17,16.1659,0.8340999999999994,8,7.802,0.1980000000000004,1,2.5254000000000003,1.5254000000000003,2,1.5676999999999999,0.43230000000000013,6,3.5390000000000006,2.4609999999999994,16,13.9006,2.0993999999999993,4,4.352699999999999,0.3526999999999987,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,cap3.5,3.5,none,0.0,1.0,1.0,30,0.97,0.95,1.05,cap4,cap,4,10000,20,306,380,190,190,2.57537,0.09520500000000001,0.2862657894736842,3,4.1734,14,18.694499999999998,4.694499999999998,17,15.3506,1.6494,8,12.3661,4.366099999999999,1,3.7193000000000005,2.7193000000000005,9,7.9275,1.0724999999999998,11,9.441999999999998,1.5580000000000016,4,4.7424,0.7424,13,9.275200000000002,3.7247999999999983,prev020_decay0995,3.0,1.5689,1.4311,,,
2025,2024,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,cap3.5,3.5,none,0.0,1.0,1.0,30,0.97,0.95,1.05,cap4,cap,4,10000,20,380,380,190,190,2.2637099999999997,0.15035999999999997,0.30974894736842107,3,1.6523666666666663,3,4.709300000000001,1.7093000000000007,2,5.431399999999998,3.4313999999999982,8,4.649799999999999,3.350200000000001,5,5.3797,0.3796999999999997,15,18.1558,3.1557999999999993,16,11.597999999999999,4.402000000000001,9,11.509900000000002,2.509900000000002,7,6.111000000000001,0.8889999999999993,prev020_decay0995,6.0,10.124699999999999,4.124699999999999,14.0,9.886000000000001,4.113999999999999
2023,2022,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,cap3.5,3.5,w010_095_105,0.1,0.95,1.05,30,0.97,0.95,1.05,cap4,cap,4,10000,18,306,306,153,153,2.0210222222222227,0.1668666666666667,0.2769640522875817,2,2.2615499999999997,13,14.7413,1.7413000000000007,17,16.2065,0.7935000000000016,8,7.743800000000001,0.2561999999999989,1,2.4982999999999995,1.4982999999999995,2,1.5876,0.4124000000000001,6,3.5223999999999998,2.4776000000000002,16,13.975399999999999,2.0246000000000013,4,4.3531,0.3531000000000004,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,cap3.5,3.5,w010_095_105,0.1,0.95,1.05,30,0.97,0.95,1.05,cap4,cap,4,10000,20,306,380,190,190,2.56891,0.098195,0.28623473684210526,3,4.0852,14,18.7074,4.7074,17,15.317200000000001,1.6827999999999985,8,12.363,4.3629999999999995,1,3.7038,2.7038,9,7.9597999999999995,1.0402000000000005,11,9.468399999999999,1.531600000000001,4,4.668199999999999,0.6681999999999988,13,9.250200000000001,3.7497999999999987,prev020_decay0995,3.0,1.7763,1.2237,,,
2025,2024,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,cap3.5,3.5,w010_095_105,0.1,0.95,1.05,30,0.97,0.95,1.05,cap4,cap,4,10000,20,380,380,190,190,2.2838,0.14906999999999998,0.31025315789473684,3,1.6870999999999998,3,4.734899999999999,1.7348999999999988,2,5.4142,3.4142,8,4.6227,3.3773,5,5.386299999999999,0.3862999999999994,15,18.2083,3.2083000000000013,16,11.579500000000001,4.420499999999999,9,11.52,2.5199999999999996,7,6.097400000000001,0.9025999999999987,prev020_decay0995,6.0,10.149199999999999,4.149199999999999,14.0,10.0623,3.9376999999999995
2023,2022,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,cap3.5,3.5,w020_097_103,0.2,0.97,1.03,30,0.97,0.95,1.05,cap4,cap,4,10000,18,306,306,153,153,2.0270555555555556,0.16114444444444442,0.2784758169934641,2,2.2832999999999988,13,14.7945,1.7944999999999993,17,16.2897,0.7103000000000002,8,7.740099999999999,0.2599000000000009,1,2.5516,1.5516,2,1.5544999999999998,0.44550000000000023,6,3.5186999999999995,2.4813000000000005,16,13.980399999999998,2.0196000000000023,4,4.3692,0.3692000000000002,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,cap3.5,3.5,w020_097_103,0.2,0.97,1.03,30,0.97,0.95,1.05,cap4,cap,4,10000,20,306,380,190,190,2.5391800000000004,0.09881999999999999,0.2872463157894737,3,3.9739000000000004,14,18.703,4.702999999999999,17,15.326999999999998,1.6730000000000018,8,12.3491,4.3491,1,3.673,2.673,9,7.9361000000000015,1.0638999999999985,11,9.5087,1.4913000000000007,4,4.6902,0.6901999999999999,13,9.2944,3.7056000000000004,prev020_decay0995,3.0,1.954,1.046,,,
2025,2024,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,cap3.5,3.5,w020_097_103,0.2,0.97,1.03,30,0.97,0.95,1.05,cap4,cap,4,10000,20,380,380,190,190,2.2956600000000003,0.15018,0.3106421052631579,3,1.7816000000000003,3,4.7013,1.7012999999999998,2,5.4333,3.4333,8,4.6628,3.3372,5,5.366500000000001,0.36650000000000116,15,18.265,3.2650000000000006,16,11.640500000000003,4.359499999999997,9,11.5583,2.558299999999999,7,6.060399999999999,0.9396000000000013,prev020_decay0995,6.0,10.1935,4.1935,14.0,10.1479,3.8521
2023,2022,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,cap3.5,3.5,w020_095_105,0.2,0.95,1.05,30,0.97,0.95,1.05,cap4,cap,4,10000,18,306,306,153,153,2.0298,0.1613222222222222,0.27838235294117647,2,2.296500000000001,13,14.7848,1.7848000000000006,17,16.2755,0.724499999999999,8,7.7418,0.25820000000000043,1,2.551,1.5510000000000002,2,1.5530000000000002,0.44699999999999984,6,3.5184,2.4816,16,13.9666,2.0334000000000003,4,4.370299999999999,0.3702999999999994,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,cap3.5,3.5,w020_095_105,0.2,0.95,1.05,30,0.97,0.95,1.05,cap4,cap,4,10000,20,306,380,190,190,2.5412400000000006,0.09892000000000001,0.28726368421052634,3,3.9712333333333327,14,18.700000000000003,4.700000000000003,17,15.3177,1.6822999999999997,8,12.335,4.335000000000001,1,3.6724,2.6724,9,7.925700000000001,1.0742999999999991,11,9.5018,1.4982000000000006,4,4.6835,0.6835000000000004,13,9.276599999999998,3.7234000000000016,prev020_decay0995,3.0,1.9778999999999998,1.0221000000000002,,,
2025,2024,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,cap3.5,3.5,w020_095_105,0.2,0.95,1.05,30,0.97,0.95,1.05,cap4,cap,4,10000,20,380,380,190,190,2.28755,0.150275,0.3106084210526316,3,1.7275666666666674,3,4.702300000000001,1.702300000000001,2,5.4273,3.4273,8,4.658800000000001,3.341199999999999,5,5.365100000000001,0.36510000000000087,15,18.2546,3.2546,16,11.627500000000001,4.372499999999999,9,11.5446,2.544600000000001,7,6.056400000000001,0.9435999999999991,prev020_decay0995,6.0,10.1785,4.1785,14.0,10.1847,3.8153000000000006
