target_year,previous_year,prev_weight,prev_decay,n_sim,n_teams,n_previous_matches,n_target_matches,n_train_matches,n_test_matches,mae,mean_prob_actual_position,sim_draw_rate,京都_actual_position,京都_avg_pred_position,京都_error,柏_actual_position,柏_avg_pred_position,柏_error,川崎F_actual_position,川崎F_avg_pred_position,川崎F_error,神戸_actual_position,神戸_avg_pred_position,神戸_error,横浜FM_actual_position,横浜FM_avg_pred_position,横浜FM_error,名古屋_actual_position,名古屋_avg_pred_position,名古屋_error,G大阪_actual_position,G大阪_avg_pred_position,G大阪_error,浦和_actual_position,浦和_avg_pred_position,浦和_error,prev_setting_name,町田_actual_position,町田_avg_pred_position,町田_error,清水_actual_position,清水_avg_pred_position,清水_error
2023,2022,0.0,1.0,10000,18,306,306,153,153,2.0561888888888893,0.18257777777777776,0.24041830065359476,13,14.729099999999999,1.729099999999999,17,16.5462,0.4538000000000011,8,8.3467,0.34670000000000023,1,2.0075999999999996,1.0075999999999996,2,1.9084999999999999,0.09150000000000014,6,3.2843000000000004,2.7156999999999996,16,13.805899999999998,2.1941000000000024,4,4.3176999999999985,0.31769999999999854,prev000,,,,,,
2024,2023,0.0,1.0,10000,20,306,380,190,190,2.5214300000000005,0.09722499999999998,0.2462557894736842,14,18.887,4.8870000000000005,17,15.2903,1.7096999999999998,8,12.963000000000001,4.963000000000001,1,3.9289,2.9289,9,8.685199999999998,0.31480000000000175,11,9.434999999999997,1.565000000000003,4,3.906699999999999,0.09330000000000105,13,9.643699999999999,3.356300000000001,prev000,3.0,1.6227,1.3773,,,
2025,2024,0.0,1.0,10000,20,380,380,190,190,2.3942200000000002,0.15224999999999997,0.27823789473684213,3,4.2052000000000005,1.2052000000000005,2,4.9036,2.9036,8,4.441600000000001,3.558399999999999,5,5.893900000000001,0.8939000000000012,15,18.3277,3.3277,16,10.975700000000002,5.024299999999998,9,12.2017,3.2017000000000007,7,5.965299999999999,1.0347000000000008,prev000,6.0,10.7706,4.7706,14.0,9.756,4.244
2023,2022,0.2,0.995,10000,18,306,306,153,153,2.046188888888888,0.17525555555555555,0.23987908496732027,13,14.678799999999999,1.678799999999999,17,16.167900000000003,0.832099999999997,8,7.7197000000000005,0.28029999999999955,1,2.4592000000000005,1.4592000000000005,2,1.5797999999999996,0.42020000000000035,6,3.5909999999999997,2.4090000000000003,16,13.960400000000002,2.0395999999999983,4,4.3399,0.3399000000000001,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,10000,20,306,380,190,190,2.6068799999999994,0.09727000000000001,0.2464678947368421,14,18.7479,4.747900000000001,17,15.333099999999998,1.6669000000000018,8,12.821099999999998,4.821099999999998,1,3.4891,2.4891,9,7.9049,1.0951000000000004,11,9.379199999999999,1.620800000000001,4,4.818699999999999,0.8186999999999989,13,9.3253,3.6746999999999996,prev020_decay0995,3.0,1.5510000000000002,1.4489999999999998,,,
2025,2024,0.2,0.995,10000,20,380,380,190,190,2.28971,0.149055,0.2809763157894737,3,4.729399999999998,1.7293999999999983,2,5.5108999999999995,3.5108999999999995,8,4.578099999999999,3.421900000000001,5,5.3458000000000006,0.34580000000000055,15,18.122,3.122,16,11.4718,4.5282,9,11.764000000000001,2.764000000000001,7,6.159100000000001,0.8408999999999986,prev020_decay0995,6.0,10.060899999999998,4.060899999999998,14.0,9.845100000000002,4.154899999999998
2023,2022,0.2,1.0,10000,18,306,306,153,153,2.049533333333333,0.17476111111111112,0.23969281045751634,13,14.6789,1.6789000000000005,17,16.1854,0.8145999999999987,8,7.735499999999999,0.26450000000000085,1,2.4552000000000005,1.4552000000000005,2,1.5706000000000002,0.4293999999999998,6,3.5947,2.4053,16,13.956299999999999,2.043700000000001,4,4.350199999999999,0.3501999999999992,prev020_decay1000,,,,,,
2024,2023,0.2,1.0,10000,20,306,380,190,190,2.6129,0.09673999999999999,0.24615947368421054,14,18.738599999999998,4.738599999999998,17,15.3053,1.6946999999999992,8,12.879199999999999,4.879199999999999,1,3.499,2.499,9,7.8738,1.1261999999999999,11,9.448400000000001,1.5515999999999988,4,4.809,0.8090000000000002,13,9.315199999999997,3.6848000000000027,prev020_decay1000,3.0,1.5743999999999998,1.4256000000000002,,,
2025,2024,0.2,1.0,10000,20,380,380,190,190,2.2916700000000003,0.14889000000000002,0.28165842105263156,3,4.7065,1.7065000000000001,2,5.5297,3.5297,8,4.6136,3.3864,5,5.338100000000002,0.3381000000000016,15,18.058300000000003,3.0583000000000027,16,11.4573,4.5427,9,11.803199999999999,2.8031999999999986,7,6.1615,0.8384999999999998,prev020_decay1000,6.0,10.055100000000001,4.055100000000001,14.0,9.837300000000003,4.162699999999997
