competition,season,team,old_manager,new_manager,last_old_manager_match_date,first_new_manager_match_date,effective_change_date,review_status,event_note,first_new_manager_match_url
J1,2023,FC東京,アルベルト プッチ オルトネダ,ピーター クラモフスキー,2023-06-11,2023-06-24,2023-06-24,likely_include,シーズン途中の監督交代候補。公式発表日で後ほど補完推奨,https://soccer-db.net/result/20230624013
J1,2023,柏,ネルシーニョ,井原 正巳,2023-05-13,2023-05-20,2023-05-20,likely_include,シーズン途中の監督交代候補。公式発表日で後ほど補完推奨,https://soccer-db.net/result/20230520005
J1,2024,横浜FM,ハリー キューウェル,ジョン ハッチンソン,2024-07-14,2024-07-20,2024-07-20,likely_include,シーズン途中の監督交代候補。公式発表日で後ほど補完推奨,https://soccer-db.net/result/20240720001
J1,2024,浦和,ペアマティアス ヘグモ,池田 伸康,2024-08-17,2024-08-31,2024-08-31,likely_include,シーズン途中の監督交代候補。公式発表日で後ほど補完推奨,https://soccer-db.net/result/20240831001
J1,2024,鳥栖,川井 健太,木谷 公亮,2024-08-07,2024-08-11,2024-08-11,likely_include,シーズン途中の監督交代候補。公式発表日で後ほど補完推奨,https://soccer-db.net/result/20240811007
J1,2024,鹿島,ランコ ポポビッチ,中後 雅喜,2024-10-05,2024-10-19,2024-10-19,likely_include,シーズン途中の監督交代候補。公式発表日で後ほど補完推奨,https://soccer-db.net/result/20241019002
J1,2025,新潟,樹森 大介,入江 徹,2025-06-21,2025-06-25,2025-06-25,likely_include,シーズン途中の監督交代候補。公式発表日で後ほど補完推奨,https://soccer-db.net/result/20250625001
J1,2025,横浜FC,四方田 修平,三浦 文丈,2025-07-20,2025-08-09,2025-08-09,likely_include,シーズン途中の監督交代候補。公式発表日で後ほど補完推奨,https://soccer-db.net/result/20250809001
J1,2025,横浜FM,スティーブ ホーランド,パトリック キスノーボ,2025-04-16,2025-04-20,2025-04-20,likely_include,シーズン途中の監督交代候補。公式発表日で後ほど補完推奨,https://soccer-db.net/result/20250420009
J1,2025,横浜FM,パトリック キスノーボ,大島 秀夫,2025-06-15,2025-06-21,2025-06-21,likely_include,同一シーズン2度目の体制変更候補。別イベントとして扱う候補,https://soccer-db.net/result/20250621007
